time,low,high,open,close,volume
2022-11-28 00:00:00,16408.82,16478.32,16421.63,16439.48,805.27921802
2022-11-27 23:00:00,16395.0,16566.04,16562.48,16419.88,2635.6844905
2022-11-27 22:00:00,16548.69,16588.46,16570.11,16562.87,536.69695381
2022-11-27 21:00:00,16547.87,16586.24,16550.84,16570.16,364.63062926
2022-11-27 20:00:00,16538.71,16564.35,16546.35,16551.85,310.74308915
2022-11-27 19:00:00,16526.16,16559.49,16556.06,16548.01,231.55077172
2022-11-27 18:00:00,16521.68,16558.2,16523.91,16557.18,274.44999675
2022-11-27 17:00:00,16511.2,16539.62,16529.93,16523.91,343.23826257
2022-11-27 16:00:00,16524.43,16571.57,16564.49,16529.99,413.80552328
2022-11-27 15:00:00,16509.72,16576.9,16530.92,16564.49,460.84849683
2022-11-27 14:00:00,16510.35,16547.92,16530.02,16531.0,313.45051691
2022-11-27 13:00:00,16512.84,16555.46,16549.12,16531.21,297.8332344
2022-11-27 12:00:00,16526.9,16570.09,16540.17,16548.97,362.61311855
2022-11-27 11:00:00,16516.6,16551.88,16532.69,16541.2,230.27647237
2022-11-27 10:00:00,16502.1,16583.86,16512.14,16531.27,455.41939966
2022-11-27 09:00:00,16504.14,16537.54,16522.18,16513.11,223.63813617
2022-11-27 08:00:00,16511.81,16573.97,16553.12,16521.79,259.18993951
2022-11-27 07:00:00,16539.95,16562.59,16544.16,16554.25,155.66252663
2022-11-27 06:00:00,16527.14,16585.89,16528.55,16545.16,431.64706029
2022-11-27 05:00:00,16524.0,16569.84,16554.51,16528.55,391.13219165
2022-11-27 04:00:00,16515.19,16589.43,16517.45,16555.7,622.69365579
2022-11-27 03:00:00,16508.87,16559.98,16516.87,16517.35,414.2740872
2022-11-27 02:00:00,16474.61,16526.25,16475.31,16518.22,355.78857856
2022-11-27 01:00:00,16452.12,16499.0,16453.74,16475.31,245.68661026
2022-11-27 00:00:00,16439.7,16494.09,16450.32,16455.24,494.74151139
2022-11-26 23:00:00,16409.5,16476.71,16417.21,16450.93,673.39317461
2022-11-26 22:00:00,16376.1,16508.35,16503.46,16417.21,568.51264466
2022-11-26 21:00:00,16486.16,16537.16,16494.67,16504.59,370.98158186
2022-11-26 20:00:00,16478.92,16509.39,16482.1,16494.55,200.46659024
2022-11-26 19:00:00,16411.36,16488.3,16467.96,16482.11,444.64629469
2022-11-26 18:00:00,16450.34,16516.07,16507.94,16469.09,275.88939598
2022-11-26 17:00:00,16482.5,16520.91,16499.03,16508.0,350.09172762
2022-11-26 16:00:00,16487.52,16523.25,16504.18,16498.57,445.0675987
2022-11-26 15:00:00,16472.85,16572.51,16559.09,16504.2,778.21090524
2022-11-26 14:00:00,16526.9,16673.51,16589.76,16559.09,986.23723501
2022-11-26 13:00:00,16568.8,16603.82,16571.78,16589.33,389.43458159
2022-11-26 12:00:00,16550.46,16588.3,16572.1,16573.24,416.92776132
2022-11-26 11:00:00,16548.12,16597.2,16585.32,16572.14,418.59447322
2022-11-26 10:00:00,16572.98,16626.55,16579.93,16585.32,360.46770849
2022-11-26 09:00:00,16561.87,16593.45,16563.37,16581.53,289.83894136
2022-11-26 08:00:00,16557.84,16586.25,16574.46,16563.4,458.6579389
2022-11-26 07:00:00,16521.0,16588.85,16549.1,16573.62,405.90191464
2022-11-26 06:00:00,16524.75,16616.3,16615.96,16547.38,536.52152299
2022-11-26 05:00:00,16609.4,16643.61,16621.41,16616.09,387.48540964
2022-11-26 04:00:00,16590.8,16634.35,16615.12,16619.75,499.84314488
2022-11-26 03:00:00,16591.83,16635.82,16619.19,16616.6,336.30785617
2022-11-26 02:00:00,16609.17,16656.64,16623.23,16620.77,585.44271926
2022-11-26 01:00:00,16565.8,16693.18,16567.15,16624.91,1174.89653347
2022-11-26 00:00:00,16499.84,16578.91,16510.9,16567.79,954.75305259
2022-11-25 23:00:00,16485.44,16564.29,16519.66,16510.9,692.09710073
2022-11-25 22:00:00,16472.01,16529.47,16491.62,16519.77,557.28483778
2022-11-25 21:00:00,16481.28,16528.07,16516.22,16491.64,637.57206406
2022-11-25 20:00:00,16506.87,16608.29,16512.65,16516.57,1014.98082553
2022-11-25 19:00:00,16481.08,16536.64,16482.68,16511.38,775.32486395
2022-11-25 18:00:00,16464.86,16515.21,16498.69,16483.29,681.01069688
2022-11-25 17:00:00,16461.83,16524.6,16474.86,16498.69,753.44869086
2022-11-25 16:00:00,16446.36,16506.12,16500.94,16473.84,873.35743836
2022-11-25 15:00:00,16466.76,16558.1,16527.17,16502.16,1409.87750262
2022-11-25 14:00:00,16427.42,16535.87,16477.8,16527.18,1057.92824109
2022-11-25 13:00:00,16458.54,16507.68,16493.67,16477.8,861.19166276
2022-11-25 12:00:00,16488.34,16571.26,16518.62,16493.67,880.51708345
2022-11-25 11:00:00,16459.7,16581.08,16466.29,16518.62,1239.13688965
2022-11-25 10:00:00,16398.73,16507.84,16431.95,16466.33,843.88396766
2022-11-25 09:00:00,16418.23,16470.52,16437.1,16431.91,620.9341507
2022-11-25 08:00:00,16411.06,16483.9,16452.05,16438.25,535.62420822
2022-11-25 07:00:00,16402.55,16462.73,16413.24,16452.08,666.63111459
2022-11-25 06:00:00,16333.0,16433.46,16348.82,16413.25,929.06691409
2022-11-25 05:00:00,16347.0,16408.55,16378.5,16347.95,959.30728503
2022-11-25 04:00:00,16340.9,16489.36,16474.04,16378.52,1698.83054378
2022-11-25 03:00:00,16461.09,16516.33,16515.08,16474.07,742.64026254
2022-11-25 02:00:00,16458.54,16522.48,16516.67,16516.85,859.48362143
2022-11-25 01:00:00,16501.0,16546.06,16518.29,16516.53,440.39427957
2022-11-25 00:00:00,16498.93,16610.08,16587.6,16516.68,1070.38732784
2022-11-24 23:00:00,16549.19,16611.4,16597.65,16587.61,788.41544903
2022-11-24 22:00:00,16529.26,16624.39,16539.94,16599.3,570.40444193
2022-11-24 21:00:00,16521.32,16563.1,16554.21,16539.97,716.86055212
2022-11-24 20:00:00,16536.87,16582.21,16564.77,16553.57,731.38853227
2022-11-24 19:00:00,16540.11,16589.92,16571.8,16564.77,635.67187699
2022-11-24 18:00:00,16529.63,16591.56,16573.05,16571.65,798.38071744
2022-11-24 17:00:00,16568.47,16654.52,16606.86,16574.06,1100.06030617
2022-11-24 16:00:00,16505.53,16666.87,16548.41,16606.73,1346.09013324
2022-11-24 15:00:00,16485.32,16569.49,16521.05,16546.89,521.46701826
2022-11-24 14:00:00,16450.62,16581.94,16575.83,16521.07,1214.6835653
2022-11-24 13:00:00,16518.78,16593.19,16525.65,16575.83,826.00965319
2022-11-24 12:00:00,16484.46,16574.86,16559.17,16527.01,827.98854474
2022-11-24 11:00:00,16518.23,16568.23,16543.88,16559.78,900.05121853
2022-11-24 10:00:00,16480.97,16601.26,16587.06,16544.69,839.07550095
2022-11-24 09:00:00,16542.2,16605.34,16577.45,16587.46,511.60263755
2022-11-24 08:00:00,16506.47,16627.14,16609.94,16577.45,1033.67028587
2022-11-24 07:00:00,16600.06,16697.53,16689.7,16608.06,1100.99838973
2022-11-24 06:00:00,16622.76,16704.87,16641.52,16690.15,1424.41623254
2022-11-24 05:00:00,16631.58,16688.75,16682.19,16642.36,683.42249049
2022-11-24 04:00:00,16642.54,16726.38,16700.55,16682.19,715.98399086
